Source well,Destination well,Source plate name,Dest plate name,Transfer volume
A1,A1,Source_1,Dest1,100
A1,B1,Source_1,Dest1,100
A1,A2,Source_1,Dest1,100
A1,B2,Source_1,Dest1,100
B1,C1,Source_1,Dest1,100
B1,D1,Source_1,Dest1,100
B1,C2,Source_1,Dest1,100
B1,D2,Source_1,Dest1,100
C1,E1,Source_1,Dest1,100
C1,F1,Source_1,Dest1,100
C1,E2,Source_1,Dest1,100
C1,F2,Source_1,Dest1,100
D1,G1,Source_1,Dest1,100
D1,H1,Source_1,Dest1,100
D1,G2,Source_1,Dest1,100
D1,H2,Source_1,Dest1,100
E1,I1,Source_1,Dest1,100
E1,J1,Source_1,Dest1,100
E1,I2,Source_1,Dest1,100
E1,J2,Source_1,Dest1,100
F1,K1,Source_1,Dest1,100
F1,L1,Source_1,Dest1,100
F1,K2,Source_1,Dest1,100
F1,L2,Source_1,Dest1,100
G1,M1,Source_1,Dest1,100
G1,N1,Source_1,Dest1,100
G1,M2,Source_1,Dest1,100
G1,N2,Source_1,Dest1,100
H1,O1,Source_1,Dest1,100
H1,P1,Source_1,Dest1,100
H1,O2,Source_1,Dest1,100
H1,P2,Source_1,Dest1,100
A2,A3,Source_1,Dest1,100
A2,B3,Source_1,Dest1,100
A2,A4,Source_1,Dest1,100
A2,B4,Source_1,Dest1,100
B2,C3,Source_1,Dest1,100
B2,D3,Source_1,Dest1,100
B2,C4,Source_1,Dest1,100
B2,D4,Source_1,Dest1,100
C2,E3,Source_1,Dest1,100
C2,F3,Source_1,Dest1,100
C2,E4,Source_1,Dest1,100
C2,F4,Source_1,Dest1,100
D2,G3,Source_1,Dest1,100
D2,H3,Source_1,Dest1,100
D2,G4,Source_1,Dest1,100
D2,H4,Source_1,Dest1,100
E2,I3,Source_1,Dest1,100
E2,J3,Source_1,Dest1,100
E2,I4,Source_1,Dest1,100
E2,J4,Source_1,Dest1,100
F2,K3,Source_1,Dest1,100
F2,L3,Source_1,Dest1,100
F2,K4,Source_1,Dest1,100
F2,L4,Source_1,Dest1,100
G2,M3,Source_1,Dest1,100
G2,N3,Source_1,Dest1,100
G2,M4,Source_1,Dest1,100
G2,N4,Source_1,Dest1,100
H2,O3,Source_1,Dest1,100
H2,P3,Source_1,Dest1,100
H2,O4,Source_1,Dest1,100
H2,P4,Source_1,Dest1,100
A3,A5,Source_1,Dest1,100
A3,B5,Source_1,Dest1,100
A3,A6,Source_1,Dest1,100
A3,B6,Source_1,Dest1,100
B3,C5,Source_1,Dest1,100
B3,D5,Source_1,Dest1,100
B3,C6,Source_1,Dest1,100
B3,D6,Source_1,Dest1,100
C3,E5,Source_1,Dest1,100
C3,F5,Source_1,Dest1,100
C3,E6,Source_1,Dest1,100
C3,F6,Source_1,Dest1,100
D3,G5,Source_1,Dest1,100
D3,H5,Source_1,Dest1,100
D3,G6,Source_1,Dest1,100
D3,H6,Source_1,Dest1,100
E3,I5,Source_1,Dest1,100
E3,J5,Source_1,Dest1,100
E3,I6,Source_1,Dest1,100
E3,J6,Source_1,Dest1,100
F3,K5,Source_1,Dest1,100
F3,L5,Source_1,Dest1,100
F3,K6,Source_1,Dest1,100
F3,L6,Source_1,Dest1,100
G3,M5,Source_1,Dest1,100
G3,N5,Source_1,Dest1,100
G3,M6,Source_1,Dest1,100
G3,N6,Source_1,Dest1,100
H3,O5,Source_1,Dest1,100
H3,P5,Source_1,Dest1,100
H3,O6,Source_1,Dest1,100
H3,P6,Source_1,Dest1,100
A4,A7,Source_1,Dest1,100
A4,B7,Source_1,Dest1,100
A4,A8,Source_1,Dest1,100
A4,B8,Source_1,Dest1,100
B4,C7,Source_1,Dest1,100
B4,D7,Source_1,Dest1,100
B4,C8,Source_1,Dest1,100
B4,D8,Source_1,Dest1,100
C4,E7,Source_1,Dest1,100
C4,F7,Source_1,Dest1,100
C4,E8,Source_1,Dest1,100
C4,F8,Source_1,Dest1,100
D4,G7,Source_1,Dest1,100
D4,H7,Source_1,Dest1,100
D4,G8,Source_1,Dest1,100
D4,H8,Source_1,Dest1,100
E4,I7,Source_1,Dest1,100
E4,J7,Source_1,Dest1,100
E4,I8,Source_1,Dest1,100
E4,J8,Source_1,Dest1,100
F4,K7,Source_1,Dest1,100
F4,L7,Source_1,Dest1,100
F4,K8,Source_1,Dest1,100
F4,L8,Source_1,Dest1,100
G4,M7,Source_1,Dest1,100
G4,N7,Source_1,Dest1,100
G4,M8,Source_1,Dest1,100
G4,N8,Source_1,Dest1,100
H4,O7,Source_1,Dest1,100
H4,P7,Source_1,Dest1,100
H4,O8,Source_1,Dest1,100
H4,P8,Source_1,Dest1,100
A5,A9,Source_1,Dest1,100
A5,B9,Source_1,Dest1,100
A5,A10,Source_1,Dest1,100
A5,B10,Source_1,Dest1,100
B5,C9,Source_1,Dest1,100
B5,D9,Source_1,Dest1,100
B5,C10,Source_1,Dest1,100
B5,D10,Source_1,Dest1,100
C5,E9,Source_1,Dest1,100
C5,F9,Source_1,Dest1,100
C5,E10,Source_1,Dest1,100
C5,F10,Source_1,Dest1,100
D5,G9,Source_1,Dest1,100
D5,H9,Source_1,Dest1,100
D5,G10,Source_1,Dest1,100
D5,H10,Source_1,Dest1,100
E5,I9,Source_1,Dest1,100
E5,J9,Source_1,Dest1,100
E5,I10,Source_1,Dest1,100
E5,J10,Source_1,Dest1,100
F5,K9,Source_1,Dest1,100
F5,L9,Source_1,Dest1,100
F5,K10,Source_1,Dest1,100
F5,L10,Source_1,Dest1,100
G5,M9,Source_1,Dest1,100
G5,N9,Source_1,Dest1,100
G5,M10,Source_1,Dest1,100
G5,N10,Source_1,Dest1,100
H5,O9,Source_1,Dest1,100
H5,P9,Source_1,Dest1,100
H5,O10,Source_1,Dest1,100
H5,P10,Source_1,Dest1,100
A6,A11,Source_1,Dest1,100
A6,B11,Source_1,Dest1,100
A6,A12,Source_1,Dest1,100
A6,B12,Source_1,Dest1,100
B6,C11,Source_1,Dest1,100
B6,D11,Source_1,Dest1,100
B6,C12,Source_1,Dest1,100
B6,D12,Source_1,Dest1,100
C6,E11,Source_1,Dest1,100
C6,F11,Source_1,Dest1,100
C6,E12,Source_1,Dest1,100
C6,F12,Source_1,Dest1,100
D6,G11,Source_1,Dest1,100
D6,H11,Source_1,Dest1,100
D6,G12,Source_1,Dest1,100
D6,H12,Source_1,Dest1,100
E6,I11,Source_1,Dest1,100
E6,J11,Source_1,Dest1,100
E6,I12,Source_1,Dest1,100
E6,J12,Source_1,Dest1,100
F6,K11,Source_1,Dest1,100
F6,L11,Source_1,Dest1,100
